                                                                                  Qwen3_5MoeForCausalLM
model                                                                             Qwen3_5MoeTextModel
model.layers.8.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.8.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.8.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.8.mlp.experts.act_fn                                                 SiLUActivation
model.layers.8.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.8.mlp.shared_expert.gate_proj                                        Linear
model.layers.8.mlp.shared_expert.up_proj                                          Linear
model.layers.8.mlp.shared_expert.down_proj                                        Linear
model.layers.8.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.8.mlp.shared_expert_gate                                             Linear
model.layers.8.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.8.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.9                                                                    Qwen3_5MoeDecoderLayer
model.layers.9.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.9.linear_attn.act                                                    SiLUActivation
model.layers.9.linear_attn.conv1d                                                 Conv1d
model.layers.9.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.9.linear_attn.out_proj                                               Linear
model.layers.9.linear_attn.in_proj_qkv                                            Linear
model.layers.9.linear_attn.in_proj_z                                              Linear
model.layers.9.linear_attn.in_proj_b                                              Linear
model.layers.9.linear_attn.in_proj_a                                              Linear
model.layers.9.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.9.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.9.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.9.mlp.experts.act_fn                                                 SiLUActivation
model.layers.9.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.9.mlp.shared_expert.gate_proj                                        Linear
model.layers.9.mlp.shared_expert.up_proj                                          Linear
model.layers.9.mlp.shared_expert.down_proj                                        Linear
model.layers.9.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.9.mlp.shared_expert_gate                                             Linear
model.layers.9.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.9.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.10                                                                   Qwen3_5MoeDecoderLayer
model.layers.10.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.10.linear_attn.act                                                   SiLUActivation
model.layers.10.linear_attn.conv1d                                                Conv1d
model.layers.10.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.10.linear_attn.out_proj                                              Linear
model.layers.10.linear_attn.in_proj_qkv                                           Linear
model.layers.10.linear_attn.in_proj_z                                             Linear
model.layers.10.linear_attn.in_proj_b                                             Linear
model.layers.10.linear_attn.in_proj_a                                             Linear
model.layers.10.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.10.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.10.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.10.mlp.experts.act_fn                                                SiLUActivation
model.layers.10.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.10.mlp.shared_expert.gate_proj                                       Linear
model.layers.10.mlp.shared_expert.up_proj                                         Linear
model.layers.10.mlp.shared_expert.down_proj                                       Linear
model.layers.10.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.10.mlp.shared_expert_gate                                            Linear
model.layers.10.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.10.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.11                                                                   Qwen3_5MoeDecoderLayer
model.layers.11.self_attn                                                         Qwen3_5MoeAttention
model.layers.11.self_attn.q_proj                                                  Linear
model.layers.11.self_attn.k_proj                                                  Linear
model.layers.11.self_attn.v_proj                                                  Linear
model.layers.11.self_attn.o_proj                                                  Linear
model.layers.11.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.11.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.11.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.11.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.11.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.11.mlp.experts.act_fn                                                SiLUActivation
model.layers.11.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.11.mlp.shared_expert.gate_proj                                       Linear
model.layers.11.mlp.shared_expert.up_proj                                         Linear
model.layers.11.mlp.shared_expert.down_proj                                       Linear
model.layers.11.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.11.mlp.shared_expert_gate                                            Linear
model.layers.11.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.11.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.12                                                                   Qwen3_5MoeDecoderLayer
model.layers.12.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.12.linear_attn.act                                                   SiLUActivation
model.layers.12.linear_attn.conv1d                                                Conv1d
model.layers.12.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.12.linear_attn.out_proj                                              Linear
model.layers.12.linear_attn.in_proj_qkv                                           Linear
model.layers.12.linear_attn.in_proj_z                                             Linear
model.layers.12.linear_attn.in_proj_b                                             Linear
model.layers.12.linear_attn.in_proj_a                                             Linear
model.layers.12.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.12.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.12.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.12.mlp.experts.act_fn                                                SiLUActivation
model.layers.12.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.12.mlp.shared_expert.gate_proj                                       Linear
model.layers.12.mlp.shared_expert.up_proj                                         Linear
model.layers.12.mlp.shared_expert.down_proj                                       Linear
model.layers.12.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.12.mlp.shared_expert_gate                                            Linear
model.layers.12.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.12.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.13                                                                   Qwen3_5MoeDecoderLayer
model.layers.13.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.13.linear_attn.act                                                   SiLUActivation
model.layers.13.linear_attn.conv1d                                                Conv1d
model.layers.13.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.13.linear_attn.out_proj                                              Linear
model.layers.13.linear_attn.in_proj_qkv                                           Linear
model.layers.13.linear_attn.in_proj_z                                             Linear
model.layers.13.linear_attn.in_proj_b                                             Linear
model.layers.13.linear_attn.in_proj_a                                             Linear
model.layers.13.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.13.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.13.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.13.mlp.experts.act_fn                                                SiLUActivation
model.layers.13.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.13.mlp.shared_expert.gate_proj                                       Linear
model.layers.13.mlp.shared_expert.up_proj                                         Linear
model.layers.13.mlp.shared_expert.down_proj                                       Linear
model.layers.13.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.13.mlp.shared_expert_gate                                            Linear
model.layers.13.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.13.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.14                                                                   Qwen3_5MoeDecoderLayer
model.layers.14.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.14.linear_attn.act                                                   SiLUActivation
model.layers.14.linear_attn.conv1d                                                Conv1d
model.layers.14.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.14.linear_attn.out_proj                                              Linear
model.layers.14.linear_attn.in_proj_qkv                                           Linear
model.layers.14.linear_attn.in_proj_z                                             Linear
model.layers.14.linear_attn.in_proj_b                                             Linear
model.layers.14.linear_attn.in_proj_a                                             Linear
model.layers.14.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.14.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.14.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.14.mlp.experts.act_fn                                                SiLUActivation
model.layers.14.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.14.mlp.shared_expert.gate_proj                                       Linear
model.layers.14.mlp.shared_expert.up_proj                                         Linear
model.layers.14.mlp.shared_expert.down_proj                                       Linear
model.layers.14.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.14.mlp.shared_expert_gate                                            Linear
model.layers.14.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.14.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.15                                                                   Qwen3_5MoeDecoderLayer
model.layers.15.self_attn                                                         Qwen3_5MoeAttention
model.layers.15.self_attn.q_proj                                                  Linear
model.layers.15.self_attn.k_proj                                                  Linear
model.layers.15.self_attn.v_proj                                                  Linear
model.layers.15.self_attn.o_proj                                                  Linear
model.layers.15.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.15.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.15.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.15.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.15.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.15.mlp.experts.act_fn                                                SiLUActivation
model.layers.15.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.15.mlp.shared_expert.gate_proj                                       Linear
model.layers.15.mlp.shared_expert.up_proj                                         Linear
model.layers.15.mlp.shared_expert.down_proj                                       Linear
model.layers.15.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.15.mlp.shared_expert_gate                                            Linear
model.layers.15.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.15.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.16                                                                   Qwen3_5MoeDecoderLayer
model.layers.16.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.16.linear_attn.act                                                   SiLUActivation
model.layers.16.linear_attn.conv1d                                                Conv1d
model.layers.16.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.16.linear_attn.out_proj                                              Linear
model.layers.16.linear_attn.in_proj_qkv                                           Linear
model.layers.16.linear_attn.in_proj_z                                             Linear
model.layers.16.linear_attn.in_proj_b                                             Linear
model.layers.16.linear_attn.in_proj_a                                             Linear
model.layers.16.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.16.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.16.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.16.mlp.experts.act_fn                                                SiLUActivation
model.layers.16.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.16.mlp.shared_expert.gate_proj                                       Linear
model.layers.16.mlp.shared_expert.up_proj                                         Linear
model.layers.16.mlp.shared_expert.down_proj                                       Linear
model.layers.16.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.16.mlp.shared_expert_gate                                            Linear
model.layers.16.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.16.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.17                                                                   Qwen3_5MoeDecoderLayer
model.layers.17.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.17.linear_attn.act                                                   SiLUActivation
model.layers.17.linear_attn.conv1d                                                Conv1d
model.layers.17.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.17.linear_attn.out_proj                                              Linear
model.layers.17.linear_attn.in_proj_qkv                                           Linear
model.layers.17.linear_attn.in_proj_z                                             Linear
model.layers.17.linear_attn.in_proj_b                                             Linear
model.layers.17.linear_attn.in_proj_a                                             Linear
model.layers.17.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.17.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.17.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.17.mlp.experts.act_fn                                                SiLUActivation
model.layers.17.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.17.mlp.shared_expert.gate_proj                                       Linear
model.layers.17.mlp.shared_expert.up_proj                                         Linear
model.layers.17.mlp.shared_expert.down_proj                                       Linear
model.layers.17.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.17.mlp.shared_expert_gate                                            Linear
model.layers.17.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.17.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.18                                                                   Qwen3_5MoeDecoderLayer
model.layers.18.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.18.linear_attn.act                                                   SiLUActivation
model.layers.18.linear_attn.conv1d                                                Conv1d
model.layers.18.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.18.linear_attn.out_proj                                              Linear
model.layers.18.linear_attn.in_proj_qkv                                           Linear
model.layers.18.linear_attn.in_proj_z                                             Linear
model.layers.18.linear_attn.in_proj_b                                             Linear
model.layers.18.linear_attn.in_proj_a                                             Linear
model.layers.18.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.18.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.18.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.18.mlp.experts.act_fn                                                SiLUActivation
model.layers.18.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.18.mlp.shared_expert.gate_proj                                       Linear
model.layers.18.mlp.shared_expert.up_proj                                         Linear
model.layers.18.mlp.shared_expert.down_proj                                       Linear
model.layers.18.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.18.mlp.shared_expert_gate                                            Linear
model.layers.18.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.18.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.19                                                                   Qwen3_5MoeDecoderLayer
model.layers.19.self_attn                                                         Qwen3_5MoeAttention
model.layers.19.self_attn.q_proj                                                  Linear
model.layers.19.self_attn.k_proj                                                  Linear
model.layers.19.self_attn.v_proj                                                  Linear
model.layers.19.self_attn.o_proj                                                  Linear
model.layers.19.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.19.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.19.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.19.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.19.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.19.mlp.experts.act_fn                                                SiLUActivation
model.layers.19.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.19.mlp.shared_expert.gate_proj                                       Linear
model.layers.19.mlp.shared_expert.up_proj                                         Linear
model.layers.19.mlp.shared_expert.down_proj                                       Linear
model.layers.19.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.19.mlp.shared_expert_gate                                            Linear
model.layers.19.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.19.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.20                                                                   Qwen3_5MoeDecoderLayer
model.layers.20.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.20.linear_attn.act                                                   SiLUActivation
model.layers.20.linear_attn.conv1d                                                Conv1d
model.layers.20.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.20.linear_attn.out_proj                                              Linear
model.layers.20.linear_attn.in_proj_qkv                                           Linear
model.layers.20.linear_attn.in_proj_z                                             Linear
model.layers.20.linear_attn.in_proj_b                                             Linear
model.layers.20.linear_attn.in_proj_a                                             Linear
model.layers.20.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.20.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.20.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.20.mlp.experts.act_fn                                                SiLUActivation
model.layers.20.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.20.mlp.shared_expert.gate_proj                                       Linear
model.layers.20.mlp.shared_expert.up_proj                                         Linear
model.layers.20.mlp.shared_expert.down_proj                                       Linear
model.layers.20.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.20.mlp.shared_expert_gate                                            Linear
model.layers.20.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.20.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.21                                                                   Qwen3_5MoeDecoderLayer
model.layers.21.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.21.linear_attn.act                                                   SiLUActivation
model.layers.21.linear_attn.conv1d                                                Conv1d
model.layers.21.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.21.linear_attn.out_proj                                              Linear
model.layers.21.linear_attn.in_proj_qkv                                           Linear
model.layers.21.linear_attn.in_proj_z                                             Linear
model.layers.21.linear_attn.in_proj_b                                             Linear
model.layers.21.linear_attn.in_proj_a                                             Linear
